X,Y,Z,Omega,psi,U,V
0.000000000000000,0.418604651162791,0,0.678451958781192,0.000000000000000,0.016814899011586,-0.000000000000000
0.000000000000000,0.426356589147287,0,0.687911491666199,0.000000000000000,0.017046409050455,-0.000000000000000
0.000000000000000,0.434108527131783,0,0.696518548234819,0.000000000000000,0.017256913923512,-0.000000000000000
0.000000000000000,0.441860465116279,0,0.704244048150187,0.000000000000000,0.017445707605703,-0.000000000000000
0.000000000000000,0.449612403100775,0,0.711060185353588,0.000000000000000,0.017612116721168,-0.000000000000000
0.000000000000000,0.457364341085271,0,0.716940585533366,0.000000000000000,0.017755503093685,-0.000000000000000
0.000000000000000,0.465116279069767,0,0.721860447619844,0.000000000000000,0.017875268753566,-0.000000000000000
0.000000000000000,0.472868217054264,0,0.725796721110022,0.000000000000000,0.017970858056846,-0.000000000000000
0.000000000000000,0.480620155038760,0,0.728728248540847,0.000000000000000,0.018041763863411,-0.000000000000000
0.000000000000000,0.488372093023256,0,0.730635961315585,0.000000000000000,0.018087528709851,-0.000000000000000
0.000000000000000,0.496124031007752,0,0.731503015227691,0.000000000000000,0.018107752259807,-0.000000000000000
0.000000000000000,0.503875968992248,0,0.731314998175769,0.000000000000000,0.018102091514579,-0.000000000000000
0.000000000000000,0.511627906976744,0,0.730060058351387,0.000000000000000,0.018070268778709,-0.000000000000000
0.000000000000000,0.519379844961240,0,0.727729106923621,0.000000000000000,0.018012071838403,-0.000000000000000
0.000000000000000,0.527131782945736,0,0.724315946801545,0.000000000000000,0.017927361008500,-0.000000000000000
0.000000000000000,0.534883720930233,0,0.719817452100169,0.000000000000000,0.017816070279342,-0.000000000000000
0.000000000000000,0.542635658914729,0,0.714233698032638,0.000000000000000,0.017678212561346,-0.000000000000000
0.000000000000000,0.550387596899225,0,0.707568108718210,0.000000000000000,0.017513881869014,-0.000000000000000
0.000000000000000,0.558139534883721,0,0.699827579706348,0.000000000000000,0.017323256808147,-0.000000000000000
0.000000000000000,0.565891472868217,0,0.691022592418899,0.000000000000000,0.017106603203203,-0.000000000000000
0.000000000000000,0.573643410852713,0,0.681167317925644,0.000000000000000,0.016864276213460,-0.000000000000000
0.000000000000000,0.581395348837209,0,0.670279697136166,0.000000000000000,0.016596722746774,-0.000000000000000
0.000000000000000,0.589147286821705,0,0.658381515503217,0.000000000000000,0.016304482503014,-0.000000000000000
0.000000000000000,0.596899224806202,0,0.645498447002857,0.000000000000000,0.015988189718605,-0.000000000000000
0.000000000000000,0.604651162790698,0,0.631660092235914,0.000000000000000,0.015648573220713,-0.000000000000000
0.000000000000000,0.612403100775194,0,0.616899982710310,0.000000000000000,0.015286457287723,-0.000000000000000
0.000000000000000,0.620155038759690,0,0.601255577500068,0.000000000000000,0.014902760647370,-0.000000000000000
0.000000000000000,0.627906976744186,0,0.584768224294829,0.000000000000000,0.014498496347446,-0.000000000000000
0.000000000000000,0.635658914728682,0,0.567483111007527,0.000000000000000,0.014074769661345,-0.000000000000000
0.000000000000000,0.643410852713178,0,0.549449181768308,0.000000000000000,0.013632776821465,-0.000000000000000
0.000000000000000,0.651162790697674,0,0.530719040431389,0.000000000000000,0.013173801917891,-0.000000000000000
0.000000000000000,0.658914728682170,0,0.511348821596627,0.000000000000000,0.012699214311166,-0.000000000000000
0.000000000000000,0.666666666666667,0,0.491398044361631,0.000000000000000,0.012210464659349,-0.000000000000000
0.000000000000000,0.674418604651163,0,0.470929439498371,0.000000000000000,0.011709080905464,-0.000000000000000
0.000000000000000,0.682170542635659,0,0.450008754192086,0.000000000000000,0.011196663515904,-0.000000000000000
0.000000000000000,0.689922480620155,0,0.428704537042093,0.000000000000000,0.010674880085707,-0.000000000000000
0.000000000000000,0.697674418604651,0,0.407087897129962,0.000000000000000,0.010145459793429,-0.000000000000000
0.000000000000000,0.705426356589147,0,0.385232249086917,0.000000000000000,0.009610186806796,-0.000000000000000
0.000000000000000,0.713178294573643,0,0.363213032093213,0.000000000000000,0.009070893905888,-0.000000000000000
0.000000000000000,0.720930232558139,0,0.341107418037126,0.000000000000000,0.008529454964527,-0.000000000000000
