Y,X,Z,Omega,psi,U,V
0,0.3333333333,0,0.5276006333,0,0.0131131958,0
0,0.3410852713,0,0.5442792076,0,0.0135230263,0
0,0.3488372093,0,0.560477179,0,0.01392096,0
0,0.3565891473,0,0.5761581128,0,0.0143060988,0
0,0.3643410853,0,0.5912859667,0,0.0146775554,0
0,0.3720930233,0,0.6058251025,0,0.0150344535,0
0,0.3798449612,0,0.6197403131,0,0.0153759283,0
0,0.3875968992,0,0.6329968644,0,0.0157011281,0
0,0.3953488372,0,0.6455605518,0,0.0160092149,0
0,0.4031007752,0,0.6573977708,0,0.016299367,0
0,0.4108527132,0,0.6684756008,0,0.0165707803,0
0,0.4186046512,0,0.6787619022,0,0.016822671,0
0,0.4263565891,0,0.688225425,0,0.0170542782,0
0,0.4341085271,0,0.6968359296,0,0.0172648666,0
0,0.4418604651,0,0.7045643163,0,0.0174537302,0
0,0.4496124031,0,0.7113827655,0,0.0176201948,0
0,0.4573643411,0,0.717264885,0,0.0177636223,0
0,0.4651162791,0,0.7221858652,0,0.0178834139,0
0,0.4728682171,0,0.7261226388,0,0.0179790144,0
0,0.480620155,0,0.7290540463,0,0.0180499156,0
0,0.488372093,0,0.7309610033,0,0.0180956608,0
0,0.496124031,0,0.7318266701,0,0.0181158486,0
0,0.503875969,0,0.7316366214,0,0.0181101369,0
0,0.511627907,0,0.7303790144,0,0.018078247,0
0,0.519379845,0,0.7280447541,0,0.0180199677,0
0,0.5271317829,0,0.7246276541,0,0.0179351587,0
0,0.5348837209,0,0.7201245913,0,0.0178237546,0
0,0.5426356589,0,0.714535653,0,0.0176857684,0
0,0.5503875969,0,0.7078642748,0,0.0175212944,0
0,0.5581395349,0,0.700117367,0,0.0173305117,0
0,0.5658914729,0,0.6913054298,0,0.0171136864,0
0,0.5736434109,0,0.6814426536,0,0.0168711744,0
0,0.5813953488,0,0.6705470041,0,0.0166034229,0
0,0.5891472868,0,0.6586402911,0,0.0163109725,0
0,0.5968992248,0,0.6457482191,0,0.0159944579,0
0,0.6046511628,0,0.631900418,0,0.0156546089,0
0,0.6124031008,0,0.617130455,0,0.0152922505,0
0,0.6201550388,0,0.6014758234,0,0.0149083024,0
0,0.6279069767,0,0.5849779109,0,0.0145037784,0
0,0.6356589147,0,0.5676819444,0,0.014079785,0
0,0.6434108527,0,0.5496369115,0,0.0136375192,0
0,0.6511627907,0,0.5308954593,0,0.0131782664,0
0,0.6589147287,0,0.5115137686,0,0.0127033969,0
0,0.6666666667,0,0.4915514053,0,0.0122143626,0
0,0.6744186047,0,0.4710711481,0,0.0117126926,0
0,0.6821705426,0,0.4501387935,0,0.0111999885,0
0,0.6899224806,0,0.428822939,0,0.0106779191,0
0,0.6976744186,0,0.4071947444,0,0.0101482148,0
0,0.7054263566,0,0.3853276734,0,0.0096126611,0
0,0.7131782946,0,0.3632972159,0,0.0090730917,0
0,0.7209302326,0,0.3411805922,0,0.008531382,0
0,0.7286821705,0,0.3190564417,0,0.0079894406,0
0,0.7364341085,0,0.2970044965,0,0.0074492022,0
0,0.7441860465,0,0.2751052415,0,0.0069126188,0
0,0.7519379845,0,0.2534395632,0,0.0063816514,0
0,0.7596899225,0,0.2320883886,0,0.0058582612,0
0,0.7674418605,0,0.2111323155,0,0.0053444003,0
0,0.7751937984,0,0.1906512347,0,0.0048420029,0
0,0.7829457364,0,0.1707239461,0,0.0043529753,0
0,0.7906976744,0,0.1514277687,0,0.0038791871,0
0,0.7984496124,0,0.1328381439,0,0.0034224606,0
0,0.8062015504,0,0.1150282315,0,0.0029845612,0
0,0.8139534884,0,0.0980684965,0,0.0025671873,0
0,0.8217054264,0,0.0820262837,0,0.0021719594,0
0,0.8294573643,0,0.0669653733,0,0.0018004092,0
0,0.8372093023,0,0.0529455129,0,0.0014539676,0
0,0.8449612403,0,0.0400219125,0,0.0011339524,0
0,0.8527131783,0,0.0282446903,0,0.0008415545,0
0,0.8604651163,0,0.0176582475,0,0.0005778217,0
0,0.8682170543,0,0.0083005466,0,0.0003436414,0
0,0.8759689922,0,0.000202253,0,0.0001397192,0
0,0.8837209302,0,-0.006614308,0,-3.3446577771E-05,0
0,0.8914728682,0,-0.0121364547,0,-0.0001755966,0
0,0.8992248062,0,-0.0163628082,0,-0.0002867495,0
0,0.9069767442,0,-0.0193054498,0,-0.0003672532,0
0,0.9147286822,0,-0.020992772,0,-0.0004178503,0
0,0.9224806202,0,-0.0214733017,0,-0.0004397647,0
